config,auc_mean,auc_std,f1_mean,acc_mean,n_outer_folds
mutinfo_logreg,0.5829,0.1381,0.4887,0.5375,10
anovacorr_logreg,0.5173,0.1026,0.4629,0.5625,10
stability_logreg,0.497,0.1075,0.4913,0.5687,10
mutinfo_rf,0.4942,0.1672,0.5074,0.6937,10
anova_rf,0.492,0.1461,0.492,0.625,10
anovacorr_rf,0.4885,0.162,0.46,0.65,10
anova_logreg,0.4875,0.0962,0.4736,0.5563,10
rfimportance_logreg,0.4761,0.1007,0.4531,0.525,10
stability_rf,0.4609,0.0748,0.4412,0.6125,10
l1logreg,0.4569,0.0886,0.4212,0.6188,10
anova_xgb,0.4352,0.1513,0.4358,0.6562,10
rfimportance_rf,0.4165,0.167,0.5254,0.7063,10
