feature,freq_seleccion
gaze_out_slope,0.635
jaw_open_median,0.6
pitch_skew,0.59
expresividad_p10,0.58
mouth_press_skew,0.575
hand_present_p10,0.565
hand_present_median,0.56
smile_kurt,0.535
brow_inner_up_kurt,0.525
brow_inner_up_segstd,0.495
gaze_down_segstd,0.495
frown_skew,0.475
pitch_kurt,0.47
gaze_out_p10,0.445
eye_squint_p10,0.425
frown_segstd,0.405
jaw_open_kurt,0.38
gaze_down_slope,0.33
frown_std,0.32
eye_squint_p90,0.31
blink_slope,0.31
gaze_up_act,0.3
yaw_kurt,0.295
gaze_up_iqr,0.28
expresividad_segstd,0.27
hand_present_skew,0.265
smile_slope,0.24
gaze_out_dyn,0.23
gaze_up_dyn,0.23
frown_dynstd,0.225
hand_motion_dyn,0.225
hand_present_dynstd,0.22
yaw_p10,0.215
hand_motion_median,0.21
expresividad_kurt,0.205
pitch_median,0.205
eye_squint_act,0.205
nose_sneer_p10,0.2
hand_present_dyn,0.195
body_motion_std,0.195
expresividad_dynstd,0.19
blink_iqr,0.19
brow_down_iqr,0.185
body_motion_p10,0.185
brow_down_slope,0.18
brow_down_median,0.18
gaze_out_iqr,0.18
roll_skew,0.165
roll_dynstd,0.165
pitch_iqr,0.165
frown_kurt,0.165
mouth_press_act,0.16
hand_motion_p10,0.155
brow_down_p10,0.155
body_motion_dynstd,0.155
mouth_press_p10,0.15
mouth_press_p90,0.15
gaze_up_dynstd,0.145
blink_p10,0.145
brow_down_skew,0.145
roll_p90,0.145
eye_squint_dynstd,0.14
frown_mean,0.14
frown_p10,0.135
brow_inner_up_skew,0.135
pitch_mean,0.135
smile_skew,0.13
gaze_out_segstd,0.13
brow_down_dyn,0.125
hand_motion_p90,0.125
nose_sneer_dyn,0.125
smile_iqr,0.125
head_still_frac,0.12
yaw_dynstd,0.12
expresividad_slope,0.12
pitch_p90,0.115
nose_sneer_std,0.115
hand_motion_skew,0.115
nose_sneer_dynstd,0.11
yaw_mean,0.11
mouth_press_std,0.11
eye_wide_skew,0.11
hand_present_p90,0.105
brow_inner_up_slope,0.105
cheek_squint_kurt,0.105
nose_sneer_skew,0.1
eye_squint_std,0.1
eye_wide_iqr,0.1
smile_p10,0.1
gaze_down_kurt,0.1
body_motion_p90,0.095
pitch_dynstd,0.095
brow_down_kurt,0.095
eye_wide_median,0.09
body_motion_dyn,0.09
jaw_open_slope,0.09
smile_segstd,0.09
gaze_down_iqr,0.085
blink_act,0.085
hand_motion_kurt,0.085
blink_segstd,0.085
cheek_squint_median,0.08
expresividad_std,0.08
brow_inner_up_iqr,0.075
mouth_press_kurt,0.075
hand_motion_dynstd,0.075
body_motion_skew,0.075
brow_down_std,0.075
gaze_up_p90,0.075
yaw_median,0.07
gaze_out_std,0.07
mouth_press_dynstd,0.07
gaze_out_skew,0.07
jaw_open_segstd,0.07
cheek_squint_skew,0.07
brow_down_segstd,0.07
expresividad_iqr,0.065
gaze_up_kurt,0.065
eye_wide_act,0.065
gaze_out_act,0.065
yaw_skew,0.06
frown_iqr,0.06
brow_down_dynstd,0.06
eye_squint_skew,0.06
gaze_down_std,0.055
roll_std,0.055
yaw_iqr,0.055
jaw_open_iqr,0.055
jaw_open_act,0.055
pitch_dyn,0.05
cheek_squint_iqr,0.05
cheek_squint_std,0.05
blink_median,0.05
jaw_open_dyn,0.05
nose_sneer_kurt,0.05
brow_inner_up_p10,0.05
mouth_press_dyn,0.05
brow_down_mean,0.05
smile_p90,0.05
gaze_out_median,0.045
yaw_std,0.045
hand_present_mean,0.045
gaze_out_kurt,0.045
jaw_open_p10,0.04
brow_down_act,0.04
cheek_squint_dynstd,0.04
cheek_squint_p10,0.04
brow_inner_up_median,0.04
jaw_open_dynstd,0.04
blink_skew,0.04
head_motion_std,0.04
hand_visible_frac,0.04
eye_squint_mean,0.04
gaze_up_std,0.035
eye_squint_kurt,0.035
frown_p90,0.035
body_motion_iqr,0.035
expresividad_skew,0.035
pitch_p10,0.035
yaw_p90,0.035
blink_mean,0.035
gaze_down_act,0.035
hand_motion_mean,0.03
roll_dyn,0.03
gaze_down_p10,0.025
blink_std,0.025
frown_dyn,0.025
frown_median,0.025
roll_median,0.025
eye_squint_median,0.025
brow_inner_up_dynstd,0.025
cheek_squint_dyn,0.025
expresividad_dyn,0.025
nose_sneer_median,0.025
smile_std,0.025
gaze_up_skew,0.025
blink_dyn,0.025
hand_present_std,0.025
yaw_dyn,0.025
gaze_down_p90,0.02
blink_kurt,0.02
gaze_up_p10,0.02
gaze_out_dynstd,0.02
gaze_down_dynstd,0.02
gaze_out_mean,0.02
hand_present_iqr,0.015
body_motion_kurt,0.015
hand_motion_std,0.015
body_motion_median,0.015
roll_kurt,0.015
body_motion_mean,0.015
roll_iqr,0.015
frown_slope,0.015
expresividad_median,0.015
brow_inner_up_act,0.015
eye_wide_p10,0.015
eye_wide_kurt,0.015
gaze_out_p90,0.015
mouth_press_mean,0.015
brow_inner_up_dyn,0.01
nose_sneer_iqr,0.01
mouth_open_frac,0.01
eye_wide_dyn,0.01
mouth_press_iqr,0.01
blink_dynstd,0.01
blink_p90,0.01
eye_squint_dyn,0.01
gaze_down_dyn,0.01
mouth_press_median,0.01
brow_down_p90,0.01
smile_median,0.01
frown_act,0.01
expresividad_mean,0.01
brow_inner_up_mean,0.01
brow_inner_up_p90,0.01
expresividad_act,0.01
gaze_down_skew,0.005
eye_squint_iqr,0.005
gaze_aversion_frac,0.005
brow_inner_up_std,0.005
nose_sneer_p90,0.005
nose_sneer_mean,0.005
pitch_std,0.005
jaw_open_std,0.005
smile_dynstd,0.005
smile_act,0.005
jaw_open_skew,0.005
eye_wide_dynstd,0.0
eye_wide_p90,0.0
eye_wide_mean,0.0
eye_wide_std,0.0
gaze_up_mean,0.0
jaw_open_mean,0.0
jaw_open_p90,0.0
smile_mean,0.0
smile_dyn,0.0
gaze_up_median,0.0
gaze_down_mean,0.0
gaze_down_median,0.0
cheek_squint_p90,0.0
roll_mean,0.0
expresividad_p90,0.0
cheek_squint_mean,0.0
roll_p10,0.0
hand_motion_iqr,0.0
hand_present_kurt,0.0
blink_rate_min,0.0
head_motion_mean,0.0
