feature,freq_seleccion
pitch_skew,0.78
yaw_kurt,0.755
roll_skew,0.71
jaw_open_p10,0.55
eye_squint_p90,0.545
hand_present_median,0.515
hand_present_p10,0.51
smile_kurt,0.465
brow_inner_up_segstd,0.45
expresividad_kurt,0.45
expresividad_slope,0.44
frown_segstd,0.44
gaze_out_dyn,0.415
gaze_out_p10,0.415
brow_inner_up_kurt,0.405
gaze_down_segstd,0.4
jaw_open_kurt,0.4
gaze_out_slope,0.365
nose_sneer_p10,0.365
frown_std,0.35
cheek_squint_dynstd,0.335
hand_motion_iqr,0.33
smile_p10,0.33
smile_std,0.325
eye_squint_std,0.32
gaze_down_kurt,0.315
brow_inner_up_p10,0.31
roll_dynstd,0.305
gaze_down_slope,0.3
expresividad_p10,0.3
pitch_kurt,0.28
mouth_press_skew,0.275
body_motion_p10,0.275
smile_slope,0.27
brow_inner_up_skew,0.25
expresividad_segstd,0.24
frown_dynstd,0.24
brow_down_p10,0.24
jaw_open_median,0.235
blink_slope,0.235
eye_squint_p10,0.235
eye_wide_std,0.23
hand_motion_std,0.22
yaw_skew,0.195
frown_mean,0.185
gaze_out_segstd,0.18
cheek_squint_kurt,0.175
brow_inner_up_p90,0.17
roll_p90,0.17
body_motion_dynstd,0.17
mouth_press_p10,0.16
gaze_out_std,0.16
brow_inner_up_mean,0.15
cheek_squint_dyn,0.15
hand_motion_p90,0.145
jaw_open_dyn,0.135
brow_inner_up_std,0.13
frown_p10,0.13
expresividad_iqr,0.13
cheek_squint_skew,0.13
brow_down_kurt,0.125
pitch_p90,0.125
brow_inner_up_dyn,0.12
mouth_open_frac,0.12
body_motion_std,0.115
jaw_open_slope,0.115
blink_iqr,0.115
brow_down_median,0.11
blink_segstd,0.11
pitch_median,0.11
hand_motion_kurt,0.105
hand_present_p90,0.105
jaw_open_segstd,0.105
pitch_mean,0.105
roll_median,0.1
mouth_press_std,0.1
pitch_iqr,0.1
hand_motion_dynstd,0.09
cheek_squint_median,0.09
brow_down_act,0.09
brow_inner_up_dynstd,0.09
roll_dyn,0.085
gaze_down_std,0.085
eye_wide_skew,0.085
brow_down_slope,0.085
jaw_open_dynstd,0.08
hand_motion_p10,0.08
mouth_press_dynstd,0.08
blink_skew,0.08
expresividad_act,0.075
smile_iqr,0.075
jaw_open_iqr,0.075
gaze_up_iqr,0.07
expresividad_skew,0.065
brow_down_segstd,0.065
brow_inner_up_slope,0.065
eye_squint_skew,0.065
hand_present_skew,0.065
blink_std,0.065
gaze_up_dynstd,0.065
gaze_out_kurt,0.065
expresividad_dynstd,0.06
brow_down_iqr,0.06
eye_wide_iqr,0.06
gaze_out_iqr,0.06
eye_wide_dyn,0.06
brow_inner_up_median,0.06
yaw_p90,0.06
body_motion_median,0.06
gaze_down_dynstd,0.055
blink_kurt,0.055
gaze_out_act,0.055
pitch_p10,0.055
hand_present_mean,0.055
body_motion_p90,0.055
hand_motion_skew,0.055
nose_sneer_std,0.055
blink_p10,0.05
blink_p90,0.05
mouth_press_dyn,0.05
body_motion_skew,0.05
nose_sneer_dynstd,0.05
yaw_median,0.05
frown_slope,0.05
yaw_p10,0.05
gaze_down_iqr,0.05
gaze_out_skew,0.05
eye_squint_mean,0.045
blink_act,0.045
gaze_up_act,0.045
frown_skew,0.045
frown_p90,0.045
eye_squint_dynstd,0.045
hand_visible_frac,0.045
cheek_squint_std,0.045
expresividad_dyn,0.045
nose_sneer_skew,0.04
brow_inner_up_iqr,0.04
gaze_down_dyn,0.04
brow_down_skew,0.04
body_motion_dyn,0.035
cheek_squint_iqr,0.035
roll_kurt,0.035
roll_iqr,0.035
gaze_out_median,0.035
mouth_press_kurt,0.035
gaze_up_std,0.035
eye_wide_kurt,0.035
yaw_dyn,0.035
eye_squint_iqr,0.035
hand_present_dynstd,0.03
cheek_squint_p10,0.03
eye_squint_median,0.03
blink_rate_min,0.03
hand_motion_mean,0.03
yaw_dynstd,0.03
brow_inner_up_act,0.03
eye_wide_p90,0.03
gaze_up_p10,0.03
mouth_press_act,0.03
hand_present_std,0.03
roll_std,0.03
head_motion_std,0.025
frown_median,0.025
gaze_up_dyn,0.025
expresividad_std,0.025
smile_p90,0.025
eye_wide_median,0.025
frown_iqr,0.025
jaw_open_act,0.025
gaze_out_dynstd,0.025
yaw_mean,0.025
eye_wide_act,0.025
frown_kurt,0.025
nose_sneer_dyn,0.02
gaze_aversion_frac,0.02
mouth_press_median,0.02
eye_squint_kurt,0.02
blink_median,0.02
eye_squint_act,0.02
body_motion_kurt,0.02
hand_motion_median,0.02
gaze_down_act,0.02
frown_act,0.02
yaw_std,0.02
nose_sneer_iqr,0.02
smile_segstd,0.02
hand_present_kurt,0.02
smile_median,0.015
eye_wide_dynstd,0.015
blink_dyn,0.015
eye_squint_dyn,0.015
gaze_down_p10,0.015
blink_mean,0.015
head_still_frac,0.015
pitch_std,0.015
pitch_dyn,0.015
yaw_iqr,0.015
nose_sneer_kurt,0.015
brow_down_std,0.015
frown_dyn,0.015
smile_dyn,0.015
mouth_press_iqr,0.015
mouth_press_p90,0.015
gaze_up_skew,0.015
gaze_up_kurt,0.015
jaw_open_std,0.015
gaze_out_mean,0.01
expresividad_median,0.01
eye_wide_p10,0.01
smile_skew,0.01
brow_down_mean,0.01
brow_down_dyn,0.01
brow_down_dynstd,0.01
gaze_out_p90,0.01
pitch_dynstd,0.01
hand_motion_dyn,0.01
gaze_down_p90,0.005
body_motion_iqr,0.005
hand_present_dyn,0.005
roll_mean,0.005
nose_sneer_median,0.005
gaze_down_skew,0.005
jaw_open_mean,0.005
mouth_press_mean,0.005
smile_act,0.005
gaze_down_median,0.0
blink_dynstd,0.0
eye_wide_mean,0.0
gaze_down_mean,0.0
gaze_up_p90,0.0
gaze_up_mean,0.0
brow_down_p90,0.0
jaw_open_skew,0.0
jaw_open_p90,0.0
smile_dynstd,0.0
smile_mean,0.0
gaze_up_median,0.0
cheek_squint_mean,0.0
cheek_squint_p90,0.0
expresividad_p90,0.0
expresividad_mean,0.0
nose_sneer_mean,0.0
nose_sneer_p90,0.0
roll_p10,0.0
body_motion_mean,0.0
hand_present_iqr,0.0
head_motion_mean,0.0
