feature,freq_seleccion,modalidad
logRelF0-H1-H2_sma3nz_amean,0.88,audio
mfcc4_sma3_amean,0.525,audio
loudness_sma3_percentile20.0,0.435,audio
logRelF0-H1-A3_sma3nz_amean,0.435,audio
mfcc4V_sma3nz_amean,0.4,audio
F2frequency_sma3nz_stddevNorm,0.365,audio
loudness_sma3_percentile50.0,0.36,audio
spectralFluxUV_sma3nz_amean,0.32,audio
loudness_sma3_amean,0.29,audio
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.255,audio
F1frequency_sma3nz_stddevNorm,0.2,audio
spectralFluxV_sma3nz_stddevNorm,0.195,audio
spectralFlux_sma3_stddevNorm,0.195,audio
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.17,audio
spectralFlux_sma3_amean,0.165,audio
mfcc2_sma3_amean,0.165,audio
loudnessPeaksPerSec,0.14,audio
F1frequency_sma3nz_amean,0.135,audio
loudness_sma3_percentile80.0,0.12,audio
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.115,audio
F3frequency_sma3nz_stddevNorm,0.105,audio
mfcc2V_sma3nz_amean,0.1,audio
slopeV0-500_sma3nz_stddevNorm,0.095,audio
shimmerLocaldB_sma3nz_stddevNorm,0.095,audio
alphaRatioV_sma3nz_amean,0.095,audio
mfcc3_sma3_amean,0.085,audio
slopeUV0-500_sma3nz_amean,0.085,audio
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.085,audio
hammarbergIndexV_sma3nz_amean,0.08,audio
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.075,audio
mfcc3V_sma3nz_amean,0.075,audio
F1bandwidth_sma3nz_amean,0.07,audio
loudness_sma3_meanFallingSlope,0.07,audio
mfcc1V_sma3nz_amean,0.065,audio
HNRdBACF_sma3nz_amean,0.065,audio
loudness_sma3_stddevRisingSlope,0.06,audio
shimmerLocaldB_sma3nz_amean,0.055,audio
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.05,audio
equivalentSoundLevel_dBp,0.05,audio
mfcc1_sma3_amean,0.045,audio
slopeV0-500_sma3nz_amean,0.045,audio
F3amplitudeLogRelF0_sma3nz_amean,0.045,audio
loudness_sma3_stddevFallingSlope,0.045,audio
loudness_sma3_stddevNorm,0.045,audio
slopeV500-1500_sma3nz_amean,0.045,audio
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.04,audio
loudness_sma3_pctlrange0-2,0.04,audio
F2amplitudeLogRelF0_sma3nz_amean,0.035,audio
spectralFluxV_sma3nz_amean,0.035,audio
jitterLocal_sma3nz_amean,0.03,audio
jitterLocal_sma3nz_stddevNorm,0.025,audio
MeanVoicedSegmentLengthSec,0.025,audio
loudness_sma3_meanRisingSlope,0.025,audio
F2bandwidth_sma3nz_amean,0.02,audio
F0semitoneFrom27.5Hz_sma3nz_amean,0.015,audio
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.015,audio
F1amplitudeLogRelF0_sma3nz_amean,0.015,audio
F2bandwidth_sma3nz_stddevNorm,0.015,audio
slopeUV500-1500_sma3nz_amean,0.01,audio
alphaRatioUV_sma3nz_amean,0.01,audio
hammarbergIndexUV_sma3nz_amean,0.01,audio
F2frequency_sma3nz_amean,0.01,audio
F1bandwidth_sma3nz_stddevNorm,0.01,audio
VoicedSegmentsPerSec,0.01,audio
StddevVoicedSegmentLengthSec,0.005,audio
F3bandwidth_sma3nz_stddevNorm,0.005,audio
mfcc1_sma3_stddevNorm,0.0,audio
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.0,audio
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.0,audio
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.0,audio
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.0,audio
logRelF0-H1-A3_sma3nz_stddevNorm,0.0,audio
F3bandwidth_sma3nz_amean,0.0,audio
F3frequency_sma3nz_amean,0.0,audio
mfcc2_sma3_stddevNorm,0.0,audio
mfcc3_sma3_stddevNorm,0.0,audio
mfcc4_sma3_stddevNorm,0.0,audio
HNRdBACF_sma3nz_stddevNorm,0.0,audio
logRelF0-H1-H2_sma3nz_stddevNorm,0.0,audio
alphaRatioV_sma3nz_stddevNorm,0.0,audio
mfcc2V_sma3nz_stddevNorm,0.0,audio
mfcc1V_sma3nz_stddevNorm,0.0,audio
slopeV500-1500_sma3nz_stddevNorm,0.0,audio
hammarbergIndexV_sma3nz_stddevNorm,0.0,audio
mfcc3V_sma3nz_stddevNorm,0.0,audio
mfcc4V_sma3nz_stddevNorm,0.0,audio
MeanUnvoicedSegmentLength,0.0,audio
StddevUnvoicedSegmentLength,0.0,audio
