feature,freq_seleccion,modalidad
logRelF0-H1-H2_sma3nz_amean,0.655,audio
F1frequency_sma3nz_amean,0.525,audio
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.48,audio
F1frequency_sma3nz_stddevNorm,0.395,audio
mfcc2_sma3_amean,0.345,audio
mfcc4_sma3_amean,0.33,audio
loudness_sma3_meanFallingSlope,0.3,audio
mfcc4V_sma3nz_amean,0.28,audio
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.25,audio
spectralFlux_sma3_amean,0.24,audio
slopeUV0-500_sma3nz_amean,0.23,audio
mfcc3_sma3_amean,0.215,audio
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.215,audio
F2frequency_sma3nz_stddevNorm,0.205,audio
F2frequency_sma3nz_amean,0.2,audio
spectralFluxUV_sma3nz_amean,0.175,audio
loudness_sma3_percentile50.0,0.175,audio
loudness_sma3_percentile80.0,0.175,audio
mfcc3V_sma3nz_amean,0.17,audio
loudness_sma3_amean,0.16,audio
slopeV0-500_sma3nz_stddevNorm,0.155,audio
F1bandwidth_sma3nz_amean,0.155,audio
mfcc2V_sma3nz_amean,0.15,audio
shimmerLocaldB_sma3nz_stddevNorm,0.145,audio
slopeV0-500_sma3nz_amean,0.125,audio
loudness_sma3_stddevFallingSlope,0.125,audio
spectralFluxV_sma3nz_amean,0.115,audio
mfcc1_sma3_amean,0.1,audio
mfcc1V_sma3nz_amean,0.085,audio
loudness_sma3_percentile20.0,0.085,audio
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.075,audio
shimmerLocaldB_sma3nz_amean,0.075,audio
logRelF0-H1-A3_sma3nz_amean,0.075,audio
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.07,audio
F3frequency_sma3nz_stddevNorm,0.065,audio
spectralFluxV_sma3nz_stddevNorm,0.065,audio
HNRdBACF_sma3nz_amean,0.06,audio
loudnessPeaksPerSec,0.055,audio
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.05,audio
loudness_sma3_pctlrange0-2,0.05,audio
slopeV500-1500_sma3nz_amean,0.045,audio
equivalentSoundLevel_dBp,0.04,audio
loudness_sma3_meanRisingSlope,0.04,audio
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.04,audio
hammarbergIndexUV_sma3nz_amean,0.03,audio
F0semitoneFrom27.5Hz_sma3nz_amean,0.025,audio
alphaRatioV_sma3nz_amean,0.025,audio
jitterLocal_sma3nz_amean,0.02,audio
F1amplitudeLogRelF0_sma3nz_amean,0.015,audio
hammarbergIndexV_sma3nz_amean,0.015,audio
F2bandwidth_sma3nz_stddevNorm,0.015,audio
alphaRatioUV_sma3nz_amean,0.015,audio
F2amplitudeLogRelF0_sma3nz_amean,0.01,audio
F3amplitudeLogRelF0_sma3nz_amean,0.01,audio
MeanVoicedSegmentLengthSec,0.01,audio
VoicedSegmentsPerSec,0.01,audio
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.005,audio
jitterLocal_sma3nz_stddevNorm,0.005,audio
F3bandwidth_sma3nz_stddevNorm,0.005,audio
F2bandwidth_sma3nz_amean,0.005,audio
F1bandwidth_sma3nz_stddevNorm,0.005,audio
StddevVoicedSegmentLengthSec,0.005,audio
loudness_sma3_stddevRisingSlope,0.005,audio
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.0,audio
mfcc1_sma3_stddevNorm,0.0,audio
spectralFlux_sma3_stddevNorm,0.0,audio
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.0,audio
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.0,audio
loudness_sma3_stddevNorm,0.0,audio
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.0,audio
logRelF0-H1-H2_sma3nz_stddevNorm,0.0,audio
logRelF0-H1-A3_sma3nz_stddevNorm,0.0,audio
F3bandwidth_sma3nz_amean,0.0,audio
F3frequency_sma3nz_amean,0.0,audio
mfcc2_sma3_stddevNorm,0.0,audio
mfcc3_sma3_stddevNorm,0.0,audio
mfcc4_sma3_stddevNorm,0.0,audio
HNRdBACF_sma3nz_stddevNorm,0.0,audio
alphaRatioV_sma3nz_stddevNorm,0.0,audio
hammarbergIndexV_sma3nz_stddevNorm,0.0,audio
mfcc2V_sma3nz_stddevNorm,0.0,audio
mfcc1V_sma3nz_stddevNorm,0.0,audio
slopeV500-1500_sma3nz_stddevNorm,0.0,audio
mfcc3V_sma3nz_stddevNorm,0.0,audio
slopeUV500-1500_sma3nz_amean,0.0,audio
mfcc4V_sma3nz_stddevNorm,0.0,audio
MeanUnvoicedSegmentLength,0.0,audio
StddevUnvoicedSegmentLength,0.0,audio
