feature,freq_seleccion,modalidad
AU15_std,0.66,video
AU01_mean,0.555,video
AU05_mean,0.45,video
AU04_mean,0.41,video
AU02_mean,0.385,video
AU20_std,0.355,video
Yaw_mean,0.295,video
AU09_std,0.29,video
AU05_std,0.21,video
AU10_std,0.205,video
AU04_std,0.195,video
AU24_mean,0.155,video
X_mean,0.145,video
AU25_mean,0.135,video
AU20_mean,0.12,video
AU15_mean,0.095,video
AU10_mean,0.095,video
AU17_std,0.09,video
AU14_std,0.085,video
AU12_std,0.075,video
disgust_std,0.075,video
happiness_mean,0.07,video
AU28_std,0.055,video
AU17_mean,0.05,video
AU09_mean,0.045,video
AU12_mean,0.045,video
AU01_std,0.04,video
AU26_mean,0.04,video
surprise_mean,0.035,video
Z_mean,0.035,video
AU25_std,0.035,video
AU23_std,0.03,video
AU07_mean,0.03,video
sadness_std,0.03,video
disgust_mean,0.03,video
Pitch_mean,0.025,video
AU02_std,0.02,video
anger_std,0.02,video
AU24_std,0.02,video
AU23_mean,0.02,video
AU14_mean,0.02,video
AU07_std,0.02,video
Roll_mean,0.02,video
Y_mean,0.02,video
AU43_mean,0.015,video
AU11_mean,0.015,video
surprise_std,0.015,video
neutral_mean,0.015,video
Yaw_std,0.015,video
AU28_mean,0.015,video
happiness_std,0.015,video
neutral_std,0.01,video
fear_std,0.01,video
Y_std,0.01,video
AU06_std,0.005,video
AU06_mean,0.005,video
AU11_std,0.005,video
X_std,0.005,video
anger_mean,0.005,video
sadness_mean,0.005,video
AU43_std,0.0,video
Pitch_std,0.0,video
Roll_std,0.0,video
AU26_std,0.0,video
fear_mean,0.0,video
Z_std,0.0,video
