feature,freq_seleccion,modalidad
anger_mean,0.86,video
anger_std,0.785,video
AU01_mean,0.665,video
AU05_std,0.37,video
Yaw_mean,0.365,video
AU20_mean,0.2,video
neutral_std,0.195,video
AU17_std,0.19,video
Z_mean,0.15,video
AU20_std,0.13,video
AU15_std,0.12,video
Pitch_mean,0.115,video
AU25_mean,0.11,video
surprise_mean,0.11,video
AU09_mean,0.105,video
AU02_mean,0.095,video
AU43_mean,0.09,video
AU05_mean,0.085,video
X_std,0.085,video
Yaw_std,0.08,video
AU11_mean,0.08,video
AU01_std,0.075,video
AU14_std,0.07,video
surprise_std,0.065,video
AU11_std,0.065,video
sadness_std,0.06,video
AU26_mean,0.055,video
AU12_std,0.05,video
disgust_mean,0.05,video
X_mean,0.05,video
disgust_std,0.045,video
AU23_std,0.035,video
AU43_std,0.03,video
AU10_std,0.025,video
AU02_std,0.025,video
happiness_std,0.025,video
neutral_mean,0.025,video
AU23_mean,0.025,video
AU09_std,0.02,video
AU06_mean,0.02,video
AU25_std,0.02,video
happiness_mean,0.02,video
sadness_mean,0.015,video
AU28_mean,0.015,video
AU04_mean,0.01,video
AU04_std,0.01,video
AU10_mean,0.01,video
AU07_mean,0.01,video
Y_mean,0.01,video
AU14_mean,0.01,video
fear_std,0.01,video
AU28_std,0.005,video
AU15_mean,0.005,video
AU24_mean,0.005,video
AU12_mean,0.005,video
AU17_mean,0.005,video
AU06_std,0.005,video
AU24_std,0.005,video
fear_mean,0.005,video
AU26_std,0.005,video
Roll_std,0.005,video
Roll_mean,0.005,video
Z_std,0.005,video
AU07_std,0.0,video
Y_std,0.0,video
Pitch_std,0.0,video
