metodo,auc_mean,auc_std,f1_mean,bacc_mean,n_folds
video:anova_logreg,0.6556,0.1165,0.551,0.5917,10
audio:anova_xgb,0.5847,0.1201,0.4275,0.4917,10
video:l1logreg,0.5833,0.1803,0.4903,0.5417,10
audio:anova_logreg,0.5736,0.1163,0.519,0.5458,10
video:mutinfo_rf,0.5597,0.1436,0.4578,0.4667,10
early:anova_logreg,0.5556,0.1227,0.4927,0.5333,10
video:anova_rf,0.5493,0.1333,0.4889,0.4958,10
video:mutinfo_logreg,0.5451,0.1041,0.4853,0.5042,10
early:l1logreg,0.5208,0.1381,0.3464,0.475,10
audio:anova_rf,0.5097,0.1227,0.45,0.4708,10
audio:l1logreg,0.5007,0.1558,0.446,0.4625,10
early:mutinfo_rf,0.4785,0.1779,0.4702,0.4958,10
early:anova_mlp,0.3354,0.0861,0.3994,0.425,10
