feature,F,p,eta2,mean_pos,mean_neg,n_pos,n_neg,p_adj,sig
eye_squint_p90,6.430570976141394,0.01321576590557667,0.0761640114687671,0.4196868962363193,0.3596200141750398,19,61,0.5633128928996255,False
eye_squint_mean,5.75737838119961,0.018805388493261823,0.06873876060203823,0.29263177121940415,0.24403984050770275,19,61,0.5633128928996255,False
expresividad_p10,5.351749498209582,0.023336916502727935,0.06420680466130528,0.025158640781515463,0.03401063849813621,19,61,0.5633128928996255,False
eye_squint_p10,5.275331744010372,0.02431309208927672,0.0633480723946777,0.18342031969835879,0.1426609686774308,19,61,0.5633128928996255,False
frown_skew,5.1006105635035,0.026711396643528566,0.061378737519692916,14.22403409606532,10.140623600756536,19,61,0.5633128928996255,False
eye_squint_median,5.025773228335609,0.027814348908631083,0.06053268801862088,0.28207876415629135,0.2334639715855239,19,61,0.5633128928996255,False
frown_segstd,4.816912455098952,0.031156565661561646,0.058163390934316085,0.0006472440555176081,0.0018297643015003561,19,61,0.5633128928996255,False
cheek_squint_median,4.088443075454659,0.0466063500450346,0.04980534314308549,3.037167175534705e-07,4.344858583808263e-07,19,61,0.5633128928996255,False
mouth_press_skew,3.9764344475954148,0.049635926874794636,0.048507043205659364,3.2330556543249833,4.298733400516823,19,61,0.5633128928996255,False
brow_inner_up_skew,3.930269005215274,0.0509457706845263,0.04797090321972569,3.8696997575461864,2.6386460352261536,19,61,0.5633128928996255,False
frown_std,3.883334662000107,0.05231574560896677,0.047425213909885584,0.006112482488357505,0.012380558193936037,19,61,0.5633128928996255,False
brow_down_median,3.859900778379941,0.05301460353670051,0.04715252207341278,0.05307618738152083,0.020893311357033987,19,61,0.5633128928996255,False
brow_inner_up_p10,3.8357462214679576,0.05374552209223077,0.046871280565921304,0.028330160896171224,0.07113447706463179,19,61,0.5633128928996255,False
eye_squint_act,3.8241756486075418,0.05409949991692376,0.04673650077491034,0.7508018254017774,0.6103096081177463,19,61,0.5633128928996255,False
hand_present_skew,3.79903495502692,0.05487734638989658,0.04644351803313605,4.124106281682065,9.307927360300157,19,61,0.5633128928996255,False
frown_kurt,3.7615009762432297,0.05606123826320301,0.04600577204834069,335.21687437358656,190.36961255308057,19,61,0.5633128928996255,False
pitch_skew,3.745616241459757,0.0565705713950349,0.045820392746150164,0.4993694434432607,-0.16157540343091137,19,61,0.5633128928996255,False
brow_down_mean,3.733116673807039,0.05697488378913631,0.04567446863314578,0.057801671326160396,0.027039974903092356,19,61,0.5633128928996255,False
brow_down_dyn,3.612100992455612,0.061055291190577475,0.04425938002489998,0.00815788457341684,0.005071918719131303,19,61,0.5633128928996255,False
cheek_squint_p10,3.5287772240729747,0.06404874153091439,,1.2380214037558576e-07,1.6388678543945224e-07,19,61,0.5633128928996255,False
brow_inner_up_median,3.471830637867828,0.06618624136496283,0.04261387783588273,0.07579230976683132,0.1395032769336258,19,61,0.5633128928996255,False
brow_down_p10,3.4586105457877094,0.06669349128298813,0.04245850159503558,0.02241151189580127,0.006794378191726923,19,61,0.5633128928996255,False
hand_present_median,3.304166666666667,0.07294422999257906,0.040639573617588284,0.05263157894736842,0.0,19,61,0.5633128928996255,False
hand_present_p10,3.304166666666667,0.07294422999257906,0.040639573617588284,0.05263157894736842,0.0,19,61,0.5633128928996255,False
gaze_out_slope,3.2661227650630895,0.07458041735590809,0.04019045887676115,0.004491927788445803,0.00016166681393248695,19,61,0.5633128928996255,False
brow_inner_up_mean,3.219764558195946,0.07662873210998294,0.039642623636133606,0.10093767354019768,0.1602914163873332,19,61,0.5633128928996255,False
frown_mean,3.197232478227485,0.07764650552409054,0.03937612626249059,0.002271344226947323,0.004690313741343321,19,61,0.5633128928996255,False
cheek_squint_iqr,3.1338364137656676,0.08059057274428283,0.038625517444827284,3.36229584712256e-07,4.855474925731131e-07,19,61,0.5633128928996255,False
brow_inner_up_kurt,3.1335799646660227,0.08060272829047091,0.03862247870771519,30.89121213084773,16.265376481853547,19,61,0.5633128928996255,False
brow_down_p90,3.1292094046543055,0.08081020057464912,0.03857068776606104,0.09672437853326918,0.05398141562396687,19,61,0.5633128928996255,False
nose_sneer_std,3.1199782934141047,0.08125033741276008,0.038461281167125376,1.0923096603595407e-06,1.7007498743690823e-06,19,61,0.5633128928996255,False
expresividad_slope,3.1136615441924755,0.08155303702780714,0.03838640106877786,0.0002794325743850842,0.0019884178506546194,19,61,0.5633128928996255,False
hand_motion_median,3.089522915198445,0.08272124374510129,0.038100149120736615,0.02284172662582833,0.032112267284394494,19,61,0.5633128928996255,False
brow_down_iqr,3.03513285077876,0.08542160075206957,0.03745453044875941,0.03684491006118289,0.022011901159411956,19,61,0.5633128928996255,False
cheek_squint_mean,3.0060097885279458,0.08690733286272566,0.037108478696523284,4.247889566649495e-07,5.686054439677003e-07,19,61,0.5633128928996255,False
mouth_press_kurt,2.9740194489572422,0.08857228928152537,0.03672806993151607,18.559512991654245,30.84997549213347,19,61,0.5633128928996255,False
mouth_press_p90,2.926670364261828,0.09110165399229198,0.03616447273919077,0.1359577880878197,0.10333911654707346,19,61,0.5633128928996255,False
brow_inner_up_segstd,2.8901582230923575,0.09310670512061194,0.03572941735534002,0.015096864328896321,0.02167758411091437,19,61,0.5633128928996255,False
pitch_kurt,2.864218115091819,0.09456089126682028,0.03542009286499567,6.820375818955271,1.4031952482755068,19,61,0.5633128928996255,False
frown_dynstd,2.853021496383932,0.09519633190223566,0.03528651673841933,0.004586335393373411,0.0072631744165011156,19,61,0.5633128928996255,False
nose_sneer_iqr,2.838682132072235,0.09601706096646925,0.03511539348742062,1.2266668698813238e-06,1.6947243484984758e-06,19,61,0.5633128928996255,False
cheek_squint_dyn,2.817354949193061,0.09725231188887351,,1.1732026194977152e-07,1.5967595752723265e-07,19,61,0.5633128928996255,False
expresividad_segstd,2.8079541540951327,0.09780239324457878,0.03474848711972784,0.004105571601511005,0.005612985718537656,19,61,0.5633128928996255,False
nose_sneer_p90,2.7866796371229583,0.09906006974585836,0.0344942959611677,3.3198488393425484e-06,4.405406845061869e-06,19,61,0.5633128928996255,False
eye_wide_median,2.7408212770538407,0.10183270640282976,0.0339459177365684,0.004854832469534673,0.006358352398163916,19,61,0.5633128928996255,False
nose_sneer_dynstd,2.6417676871228015,0.10812175412576584,0.032759297853842184,5.721533278502696e-07,8.434327941783716e-07,19,61,0.5633128928996255,False
jaw_open_median,2.6155523031964596,0.10985802595649768,0.03244476070025949,0.013325682038588305,0.02381027789813172,19,61,0.5633128928996255,False
brow_inner_up_act,2.596479154122935,0.11114088205286846,0.03221578884553684,0.16180941276328967,0.29753024933020206,19,61,0.5633128928996255,False
hand_motion_p10,2.5800459154750857,0.11225965204553302,0.032018422007123716,0.006597038830238306,0.011491571346939058,19,61,0.5633128928996255,False
hand_present_mean,2.5799340877405026,0.112267308376422,0.03201707865547901,0.08212167202298969,0.03337751426753111,19,61,0.5633128928996255,False
hand_visible_frac,2.5799340877405026,0.112267308376422,0.03201707865547901,0.08212167202298969,0.03337751426753111,19,61,0.5633128928996255,False
frown_p90,2.548785057799507,0.11442293137023643,0.03164274986854951,0.005193595783662384,0.011164755680928435,19,61,0.5633128928996255,False
nose_sneer_mean,2.500518206417544,0.1178556402568547,0.031062138010165,1.983337423744639e-06,2.5659204333887976e-06,19,61,0.5692649793538642,False
brow_down_std,2.467268012051064,0.12028778527915726,0.03066175940857784,0.03532408437642607,0.02394641870747271,19,61,0.5702532042863752,False
nose_sneer_dyn,2.4148457164831045,0.12423816417998709,0.03002984952551019,4.140679804645754e-07,5.365250019417172e-07,19,61,0.5753514026872198,False
expresividad_mean,2.3791833434155367,0.1270093544653512,0.029599496342860465,0.05242369059277204,0.0606756798129101,19,61,0.5753514026872198,False
pitch_mean,2.365318412887245,0.12810558575457628,0.0294320791555272,0.2992030978202821,-1.78695986945121,19,61,0.5753514026872198,False
brow_down_dynstd,2.3132733086568114,0.13231735516593987,0.028803125727008175,0.011995313382756516,0.008793611321350144,19,61,0.5836104776366845,False
frown_dyn,2.265295655259309,0.1363398417119826,0.028222604012932216,0.0013116162780006952,0.0023198972965950844,19,61,0.5836104776366845,False
expresividad_median,2.2601004671527645,0.13678370569609793,0.028159701445648323,0.04694972050033114,0.05551490685368166,19,61,0.5836104776366845,False
eye_wide_mean,2.2159510312769792,0.14062298853143648,0.027624817792323498,0.00693560125747397,0.008702443145429214,19,61,0.5901554928532416,False
cheek_squint_p90,2.1735182639513635,0.1444294769775625,0.027110176913972984,8.596906133406216e-07,1.1276987526228324e-06,19,61,0.5963539694557419,False
eye_wide_iqr,2.090509213282932,0.1522228706665903,0.026101834459759218,0.0054829845719627105,0.0073265652324942835,19,61,0.607170155746846,False
brow_inner_up_p90,2.0325139694395733,0.157955520317909,0.025396103016527637,0.19963891640011416,0.26948354573401273,19,61,0.607170155746846,False
nose_sneer_median,2.013644003798567,0.1598742832794279,0.025166257940995303,1.7624214897774725e-06,2.215906439702297e-06,19,61,0.607170155746846,False
mouth_press_dyn,1.9971768046416214,0.1615708142051785,0.024965591092281293,0.01679100630510789,0.013587622735343951,19,61,0.607170155746846,False
frown_iqr,1.978647569833242,0.1635048113909598,0.024739697781280812,0.001913680200232147,0.0037195836813508324,19,61,0.607170155746846,False
jaw_open_act,1.9760459030151318,0.1637785077968491,0.024707972002159656,0.0443942071389119,0.07175894450923294,19,61,0.607170155746846,False
eye_squint_std,1.9691937211789978,0.16450191103023057,0.024624403842869784,0.09616773144194952,0.08948014774283422,19,61,0.607170155746846,False
mouth_open_frac,1.954898488224053,0.1660230894620282,0.02445001526094082,0.023418618852769305,0.04041692992506846,19,61,0.607170155746846,False
frown_act,1.9145359867344047,0.17040733716206324,0.023957293414707592,0.00020694964462072106,0.0016305166814710296,19,61,0.6079701237327599,False
smile_slope,1.9092486914619677,0.17099159729983873,0.023892712329630063,0.004290682216187149,0.01349772408313701,19,61,0.6079701237327599,False
hand_present_kurt,1.8864529919528437,0.1735375318816265,0.023614178891418185,36.78438435102764,209.41365752063814,19,61,0.6085699748177587,False
pitch_median,1.8627861994467372,0.17622781157882433,0.023324833606414318,0.329909086227417,-1.4717689787388826,19,61,0.6096529697862031,False
hand_motion_skew,1.8260636196872537,0.18049964289156972,0.022875531335067572,3.6495594601882133,2.959160858978991,19,61,0.6125114307866869,False
eye_wide_p90,1.814756996101018,0.18183933101479768,0.022737111085731503,0.01443206305664617,0.018067371306299627,19,61,0.6125114307866869,False
gaze_down_slope,1.7096069854128573,0.1948773387951701,0.021447941472421544,0.010421822024019117,0.005434437413684646,19,61,0.6337230502992658,False
pitch_p10,1.6903672626986883,0.19738134492575052,0.021211688699167418,-8.22613677225615,-10.29213958245809,19,61,0.6337230502992658,False
blink_p10,1.6800163426836636,0.19874434134014418,0.021084538128837014,0.06867487277639538,0.05757433521088025,19,61,0.6337230502992658,False
pitch_p90,1.6675233308357287,0.20040438512946193,0.020931030125174048,8.439339335027494,6.0217779071116055,19,61,0.6337230502992658,False
gaze_down_segstd,1.6459888148018211,0.20330489499723617,0.020666311502882884,0.021466132963119947,0.025477970006182134,19,61,0.6337230502992658,False
eye_wide_p10,1.6309520338409007,0.2053600234558343,0.020481383082645997,0.0014335690142806895,0.00173361660133981,19,61,0.6337230502992658,False
cheek_squint_dynstd,1.6196826716873645,0.20691658272421712,0.020342742112727873,1.959200199501921e-07,2.98467722988424e-07,19,61,0.6337230502992658,False
cheek_squint_std,1.612325809681763,0.20794037587944658,0.02025221337630717,3.965969155890554e-07,5.06528040000003e-07,19,61,0.6337230502992658,False
jaw_open_iqr,1.5669636132256655,0.2143894401541231,0.019693645981549126,0.05165174300782379,0.07031187723528164,19,61,0.6456905491700649,False
mouth_press_mean,1.5380692128165352,0.2186232755217866,0.019337522623301216,0.0650966276267641,0.053464656878934494,19,61,0.6469330466791483,False
jaw_open_mean,1.5297824199770798,0.21985615258236682,0.019235340188643785,0.03896130687606174,0.0499199790170141,19,61,0.6469330466791483,False
brow_down_segstd,1.4801239647299382,0.2274237339204795,0.018622567390392565,0.007905557237821511,0.0050285155579967164,19,61,0.6615963168595766,False
brow_down_act,1.4298546172303022,0.23541076461664287,0.018001475945294398,0.0629383185541835,0.02232373971676157,19,61,0.67713658136922,False
brow_inner_up_dyn,1.3851310463552655,0.2428081011313647,0.01744824286485657,0.018883809673991996,0.02271599734018812,19,61,0.6906541543292152,False
blink_mean,1.3499064684383966,0.24883739206782987,0.017012073845043746,0.20012105138678296,0.18297125325828303,19,61,0.7000260699930159,False
hand_motion_mean,1.3026535490916598,0.25722105185535593,0.01642635511919233,0.053627522123095205,0.06518306094603456,19,61,0.7157455355975122,False
jaw_open_dyn,1.2721961478561834,0.262812635828622,0.016048453426007286,0.01990108748309702,0.024016544665591597,19,61,0.723441234108895,False
eye_squint_dyn,1.1992485967871545,0.276841921177455,0.015142171397265048,0.033270737352339805,0.030531825329803006,19,61,0.748584954077344,False
blink_median,1.1561314806661647,0.28558407605853753,0.014605709741494236,0.15767372203500643,0.1421915747713847,19,61,0.748584954077344,False
jaw_open_p90,1.153998690419576,0.28602563725675273,0.014579158469719255,0.11282472312450405,0.13824090824202923,19,61,0.748584954077344,False
gaze_up_act,1.1488610998666529,0.2870929091297015,0.014515194330049414,0.01055932164838448,0.01807772019776858,19,61,0.748584954077344,False
mouth_press_iqr,1.137252545529638,0.28952341037930035,0.014370634675184662,0.05078247983596821,0.0414521223865449,19,61,0.748584954077344,False
frown_median,1.1286563043006448,0.29134035839305633,0.014263559587821552,0.0007246885934363925,0.0011818957900686226,19,61,0.748584954077344,False
blink_slope,1.0972454203184654,0.29810649764887287,0.013872106601029685,0.00573237985372541,0.002730789108843107,19,61,0.748584954077344,False
brow_down_slope,1.08991158363313,0.2997156016068803,0.013780665091281704,-0.003078056389073784,-0.0011656741878842119,19,61,0.748584954077344,False
mouth_press_dynstd,1.0816674366213466,0.30153798838807816,0.01367785318244878,0.027547791453176384,0.02420333141201462,19,61,0.748584954077344,False
mouth_press_act,1.0670375575782547,0.3048077766716603,0.013495352684754588,0.06157183922570261,0.04253813910558618,19,61,0.748584954077344,False
eye_squint_dynstd,1.0279261907729285,0.3137809555568338,0.013007125965719025,0.046854547470023725,0.043514714988528665,19,61,0.748584954077344,False
hand_motion_kurt,1.0171873133208686,0.316305631402591,0.012872988116971225,19.354071579481428,12.703465375743928,19,61,0.748584954077344,False
smile_segstd,1.0086702252290276,0.31832716632243546,0.012766576406787078,0.025974552512080928,0.03323704834353231,19,61,0.748584954077344,False
eye_wide_dyn,0.9889933214239149,0.32306368956006437,0.012520647242578176,0.0017598171114896633,0.00208744865300159,19,61,0.748584954077344,False
gaze_out_p10,0.9874865801213727,0.3234302505458699,0.012501810386379363,0.07234742257155868,0.07647865399962561,19,61,0.748584954077344,False
mouth_press_std,0.9640590248252979,0.32920209461636835,0.0122088331923541,0.07061302014871643,0.06208671548510669,19,61,0.748584954077344,False
expresividad_act,0.9465749779378589,0.3336002183290065,0.011990070224102636,0.0006105531848294053,0.0016054619659264047,19,61,0.748584954077344,False
roll_dynstd,0.9446293637993964,0.33409453338274586,0.011965720422174315,0.9903588765545895,0.9062563156495329,19,61,0.748584954077344,False
hand_motion_iqr,0.9402591079410849,0.33520848688057864,0.01191102130353281,0.04124893159850642,0.04965736823477091,19,61,0.748584954077344,False
expresividad_p90,0.9379127448941771,0.3358086370977476,0.011881651189907378,0.08770994744018502,0.0947252629233188,19,61,0.748584954077344,False
head_motion_std,0.9369783198981716,0.33604804870214894,0.011869954232362378,1.4552962591773586,1.3457631781452992,19,61,0.748584954077344,False
pitch_dynstd,0.9261262543041429,0.3388455277031217,0.011734089816091033,1.0196793753849833,0.9222052561455085,19,61,0.748584954077344,False
brow_down_skew,0.924750013297931,0.3392025573162965,0.011716857046010554,3.0321984102851465,4.413811084676961,19,61,0.748584954077344,False
hand_motion_p90,0.9030472196929724,0.3449012186890357,0.01144502337379419,0.10304912905159745,0.1316033521758728,19,61,0.7539104292618971,False
head_still_frac,0.8749738747011921,0.35246900348390764,0.01109317482743209,0.3209352485332582,0.3514911262116003,19,61,0.7539104292618971,False
roll_p90,0.8743059085005813,0.3526518420972544,0.011084800029997528,3.596027442499211,2.3086355453143352,19,61,0.7539104292618971,False
gaze_up_kurt,0.8705259326508895,0.35368898706529495,0.01103740494128629,17.924918676677503,27.845050499087474,19,61,0.7539104292618971,False
eye_squint_iqr,0.8609316725755827,0.35634047633081856,0.01091708726128298,0.112466860366495,0.10505433771453916,19,61,0.7539104292618971,False
hand_motion_dyn,0.843850807256651,0.3611297311221753,0.010702810664582419,0.04613339996553559,0.0562049504216821,19,61,0.7577804194039088,False
jaw_open_dynstd,0.8040800415424644,0.3726355828359783,0.010203533130753978,0.0344024017747295,0.03854734669668504,19,61,0.7690217075047712,False
jaw_open_std,0.7889274789679461,0.3771555081706998,0.010013177031487627,0.05592803779597342,0.06357490796534739,19,61,0.7690217075047712,False
cheek_squint_kurt,0.7841649313263256,0.3785922427593811,0.009953331764192172,25.12068083411769,136.89087713351014,19,61,0.7690217075047712,False
eye_squint_kurt,0.7652172405077078,0.3843863423226827,0.009715167015551236,1.4490113132878353,1.8142058419399574,19,61,0.7690217075047712,False
mouth_press_median,0.764375741708363,0.38464660709829723,0.009704587061223917,0.04453572356387183,0.03713143914632617,19,61,0.7690217075047712,False
nose_sneer_skew,0.7555731538549085,0.38738439022154675,0.009593900769140991,2.1376534684708246,3.344272361427057,19,61,0.7690217075047712,False
eye_wide_std,0.7412197862450535,0.39190923233529346,0.009413364286928775,0.007439740884460855,0.008774288239140688,19,61,0.7690217075047712,False
nose_sneer_p10,0.7373697095894052,0.39313596820162,0.009364926874101589,8.925809768961221e-07,1.0281086930285338e-06,19,61,0.7690217075047712,False
blink_p90,0.7361591798430349,0.39352282688720713,0.009349696346777046,0.41013030786263316,0.3791536100086619,19,61,0.7690217075047712,False
eye_wide_skew,0.7207729809013048,0.3984885903418249,0.009156070927761002,3.859889441414883,3.308849729475428,19,61,0.76921848274631,False
pitch_dyn,0.7108869965655623,0.40172767333973874,0.00903162222776857,0.6619936337596491,0.607420419816111,19,61,0.76921848274631,False
blink_act,0.7081302323121822,0.40263779956252166,0.008996913409352844,0.3496667199105757,0.31347382108771826,19,61,0.76921848274631,False
roll_median,0.6975816167882715,0.40614853276902274,0.008864079460345942,-1.821804288186525,-3.0231640211871413,19,61,0.7701779584360727,False
jaw_open_kurt,0.6743666429198744,0.41403622772955373,0.008571618326215813,22.502595512490522,15.378423206141738,19,61,0.7727914413251595,False
pitch_iqr,0.6709959445175337,0.41520041972342214,0.008529140078393707,7.973322981282284,7.250707352747683,19,61,0.7727914413251595,False
gaze_up_skew,0.6670115951048996,0.4165828863393438,0.008478923777325799,3.0760663810529207,3.5612842665343987,19,61,0.7727914413251595,False
roll_dyn,0.6504594967522255,0.422400717721279,0.008270256790795795,0.7604000725244221,0.7067608188410275,19,61,0.7742835335799639,False
head_motion_mean,0.647549190437267,0.42343630742654276,0.008233558414761137,1.3563505097439414,1.2612064940030459,19,61,0.7742835335799639,False
roll_mean,0.6288470823343607,0.43018408312067336,0.007997663779501667,-1.9201485828349465,-3.0503272740323037,19,61,0.7810434416942722,False
nose_sneer_kurt,0.5980520694669601,0.44165961664166187,0.007608993527452644,14.274367558328729,62.564988202736025,19,61,0.7913890559481703,False
brow_down_kurt,0.5969869085868913,0.44206498047104825,0.007595544461280989,22.83454662875125,73.68343746075865,19,61,0.7913890559481703,False
eye_squint_skew,0.5842427317685853,0.44696031112580364,0.00743460408167041,0.792891751068007,0.9107574934414664,19,61,0.7945961086680954,False
gaze_out_dyn,0.5612626916024573,0.45600538480095304,0.007144267701064475,0.022291287583740087,0.023627932931556024,19,61,0.8050853690278895,False
gaze_up_std,0.5526707631803992,0.4594619110725311,0.00703567119756609,0.03357357620016519,0.037396011660333496,19,61,0.8056318440723833,False
