feature,f_score
eye_squint_p90,9.099691931470666
eye_squint_mean,6.863641949476563
eye_squint_median,6.298669786734247
pitch_skew,6.2462658966203835
brow_inner_up_skew,6.16825107229574
frown_segstd,5.609340244512891
brow_inner_up_mean,5.6081166260392665
brow_inner_up_p10,5.366781581866991
brow_inner_up_median,5.322401306186362
eye_squint_std,5.141410031945652
brow_inner_up_kurt,4.990941006652896
expresividad_slope,4.889181023849204
brow_inner_up_segstd,4.80864877414121
eye_squint_p10,4.659804486689618
brow_inner_up_p90,4.558403485756608
frown_std,4.4237579052899605
brow_inner_up_dyn,4.176406056385544
brow_inner_up_act,4.130909188699092
roll_skew,4.097010822387722
frown_dynstd,3.5834911534254186
frown_mean,3.471392116272536
expresividad_p10,3.2817994173547222
eye_squint_act,3.2725120970306025
pitch_kurt,3.0629530275970662
smile_slope,2.913629256267846
hand_present_median,2.87625
hand_present_p10,2.87625
eye_squint_iqr,2.8529505596495004
brow_down_p10,2.8396913524460943
brow_down_median,2.812831042416833
expresividad_segstd,2.782224191651355
frown_p90,2.7604722848768186
nose_sneer_std,2.7340417449075067
body_motion_median,2.6567500785038876
brow_down_mean,2.614153665235211
body_motion_p10,2.575689731426441
cheek_squint_median,2.491009528297288
eye_squint_kurt,2.4721753586637734
frown_dyn,2.4679602673254086
cheek_squint_dyn,2.4335253129903243
yaw_kurt,2.3989293284711772
nose_sneer_dynstd,2.3945001796581624
cheek_squint_iqr,2.283056562348915
frown_act,2.2158724321806806
nose_sneer_iqr,2.1756906233755977
eye_squint_dyn,2.1311886777460183
gaze_up_dynstd,2.03867680497625
brow_down_p90,2.0368752025578525
frown_iqr,2.0032186665493192
brow_down_dyn,1.985297849112448
nose_sneer_p90,1.9640452284726864
roll_median,1.943626558964577
gaze_up_skew,1.9320905045161858
gaze_up_kurt,1.9268269997467242
cheek_squint_dynstd,1.9155558835319828
gaze_down_p10,1.8759600195406707
cheek_squint_mean,1.8492816182261074
gaze_up_std,1.8435893003028034
gaze_up_p90,1.8357195959190689
gaze_aversion_frac,1.8297328980070544
eye_squint_dynstd,1.8279463474062876
pitch_p10,1.793909310856746
hand_visible_frac,1.7801138124016975
hand_present_mean,1.7801138124016975
eye_squint_skew,1.775342341793756
roll_p90,1.7031014353132101
brow_down_iqr,1.6802682283929395
brow_inner_up_std,1.6773616013875732
gaze_up_dyn,1.6334491542177054
roll_mean,1.596339651338748
gaze_down_std,1.5928635626299448
hand_motion_std,1.5823621813985773
